	Sentence
5304	Oh the deep, deep love of Jesus
5305	Far surpassing all the rest
5306	It's an ocean full of blessing
5307	In the midst of every test
5308	Oh the deep, deep love of Jesus
5309	Mighty Savior, precious Friend
5310	You will bring us home to glory
5311	Where Your love will never end
5312	Oh the deep, deep love
5313	All I need and trust
5314	Is the deep, deep love of Jesus
5315	Oh the deep, deep love
5316	All I need and trust
5317	Is the deep, deep love of Jesus
5318	Oh the deep, deep love
5319	All I need and trust
5320	Is the deep, deep love of Jesus
5321	Oh the deep, deep love
5322	All I need and trust
5323	Is the deep, deep love of Jesus!
5324	Oh the deep, deep love
5325	All I need and trust
5326	Is the deep, deep love of Jesus
5327	How Firm a Foundation (Live)
5328	How firm a foundation, ye saints of the Lord
5329	Is laid for your faith in His excellent Word
5330	What more can He say than to you He hath said
5331	To you who for refuge to Jesus have fled
5332	Fear not, I am with thee; oh be not dismayed
5333	For I am thy God and will still give thee aid
5334	I'll strengthen thee, help thee, and cause thee to stand
5335	Upheld by My righteous, omnipotent hand
5336	When through the deep waters I call thee to go
5337	The rivers of sorrow shall not overflow
5338	For I will be with thee, thy troubles to bless
5339	And sanctify to thee thy deepest distress
5340	When through fiery trials thy pathways shall lie
5341	My grace all sufficient shall be thy supply
5342	The flame shall not hurt thee; I only design
5343	Thy dross to consume and thy gold to refine
5344	The soul that on Jesus has leaned for repose
5345	I will not, I will not desert to its foes
5346	That soul, though all hell should endeavor to shake
5347	I'll never, no never, no never forsake
5348	It Is Well With My Soul (Live)
5349	When peace like a river attendeth my way
5350	When sorrows like sea billows roll
5351	Whatever my lot, Thou hast taught me to say
5352	It is well, it is well with my soul
5353	It is well with my soul
5354	It is well with my soul
5355	It is well, it is well with my soul
5356	Though Satan should buffet, though trials should come
5357	Let this blest assurance control
5358	That Christ has regarded my helpless estate
5359	And has shed His own blood for my soul
5360	My sin, oh the bliss of this glorious thought
5361	My sin, not in part, but the whole
5362	Is nailed to the cross, and I bear it no more
5363	Praise the Lord, praise the Lord, O my soul
5364	And Lord, haste the day when my faith shall be sight
5365	The clouds be rolled back as a scroll
5366	The trump shall resound, and the Lord shall descend
5367	Even so, it is well with my soul
5368	All About Jesus
5369	Every word of Your Word is true
5370	They were all breathed out by You
5371	Your Spirit wrote through men
5372	Like a pen in the hand of a God Who knew
5373	That we would need to know how much You love us so
5374	You wrote it down for us forever, Oh
5375	From Genesis to Revelation there's one story of Your great salvation
5376	It's all about Jesus, oh, it's all about Jesus
5377	Shoutin' out from every page, there's one Hero that'll save the day
5378	It's all about Jesus, oh, it's all about Jesus
5379	Every word of Your Word gives light
5380	Like the sun that shines so bright
5381	It leads us day by day
5382	To the One, the Way, the Truth, the Life
5383	And every time we read You give us what we need
5384	To grow in grace and know You better, Oh
5385	From Genesis to Revelation there's one story of Your great salvation
5386	It's all about Jesus, oh, it's all about Jesus
5387	Shoutin' out from every page, there's one Hero that'll save the day
5388	It's all about Jesus, oh, it's all about Jesus
5389	It's all about Jesus, even from Eden, we read
5390	The serpent would be crushed by a seed of Eve 'cause
5391	All glory belongs to the Son
5392	Every story pointing to the Holy One, like
5393	When Abraham put Isaac on the altar
5394	He pulled the knife, but God, he never falters
5395	Faithful to His promise He would provide
5396	A substitute ram for the sacrifice, now
5397	He gave commandments so we could see
5398	His holiness and our desperate need, then
5399	There were so many temporary sacrifices
5400	None of them were perfect, no, but Christ is
5401	The prophets spoke and they were not liars
5402	God would send His own Son, to be Messiah
5403	Rescue, redeem, restore, reclaim
5404	Every saint loves His holy name, cause
5405	He died on the cross to take our place
5406	The final substitute and eternal grace
5407	Then He rose from the grave and up to the throne
5408	Until He comes again, to gather His own!
5409	From Genesis to Revelation there's one story of Your great salvation
5410	It's all about Jesus, oh, it's all about Jesus
5411	Shoutin' out from every page, there's one Hero that'll save the day
5412	It's all about Jesus, oh, it's all about Jesus
5413	It's all about Jesus, oh, it's all about Jesus
5414	It's all about Jesus, oh, it's all about Jesus
5415	It's all about Jesus, oh, it's all about Jesus
5416	You're Coming Back
5417	When all His promises come true
5418	When every tear is wiped away and all will be made new
5419	What a great day that will be when Jesus comes back for His own
5420	He will reign eternally from heaven's throne
5421	Jesus, You're coming back, You're coming back
5422	You're coming back, coming back again
5423	Jesus, You're coming back, You're coming back
5424	You're coming back, coming back again
5425	Like You said You would, and Your words are true
5426	Oh, that's a fact: You're coming back
5427	Nobody knows the day or hour
5428	When You'll come riding through the skies
5429	But You'll appear in holy power and all will be made right
5430	You'll judge the evil in this world
5431	The time for sadness will be through
5432	And all God's people will rejoice to be with You!
5433	Jesus, You're coming back, You're coming back
5434	You're coming back, coming back again
5435	Jesus, You're coming back, You're coming back
5436	You're coming back, coming back again
5437	Like You said You would, and Your words are true
5438	Oh, that's a fact: You're coming back
5439	Brick After Brick
5440	God used to dwell in a house among His people
5441	But now He has a home that's better than the first
5442	It doesn't look like a building with a steeple
5443	Now, He's living in the people of the Church
5444	Brick after brick, God is building His temple
5445	Brick after brick, He is making it strong
5446	With Christ the sure foundation and His people as the stones
5447	He is building a place He can live
5448	Brick after brick
5449	Christ is the Rock on which everything's depending
5450	He's making sure His house is steady as can be
5451	His love is strong and His promises unending
5452	And He'll protect His Church from all her enemies
5453	Brick after brick, God is building His temple
5454	Brick after brick, He is making it strong
5455	With Christ the sure foundation and His people as the stones
5456	He is building a place He can live
5457	Brick after brick
5458	All His people gather 'round, singing out with joyful sound
5459	Giving glory to their Maker
5460	And they build each other up as they share the bread and cup
5461	To remember their Savior
5462	()
5463	Brick after brick; Brick after brick
5464	after brick; Brick after brick,
5465	Brick after brick
5466	after brick after brick God is building His temple
5467	Brick after brick, He is making it strong
5468	With Christ the sure foundation and His people as the stones
5469	He is building a place He can live
5470	Brick after brick; Brick after brick
5471	Brick after Brick after brick
5472	The Scariest Song
5473	Some say snakes and some say spiders
5474	What strikes terror to your toes?
5475	Some say floods and some say fires
5476	Some say dentist drills or creepy clowns
5477	Climbing up or falling down
5478	But I'll tell you what's the scariest around
5479	Sin–it's the scariest
5480	Sin hurts everyone
5481	Sin–how it hides in us
5482	It's all the wrong we've done
5483	It separates us from our God
5484	Behind these prison walls
5485	Oh, sin is the scariest of all
5486	What's the scariest to you?
5487	Some say living, some say dying
5488	What's the worst thing you can do?
5489	Some say failing when they're trying
5490	Some say getting germs or getting shots
5491	Getting lost or getting caught
5492	But I'll tell you what's the worst thing we have got
5493	Sin–it's the scariest
5494	Sin hurts everyone
5495	Sin–how it hides in us
5496	It's all the wrong we've done
5497	It separates us from our God
5498	Behind these prison walls
5499	Oh, sin is the scariest of all
5500	Since Adam and since Eve sin's spread like a disease
5501	We know that on our own we cannot beat it
5502	But though it seeks to kill, our God is stronger still
5503	And only by His grace can we defeat it
5504	Sin–it's the scariest
5505	Sin hurts everyone
5506	Sin–how it hides in us
5507	It's all the wrong we've done
5508	It separates us from our God
5509	Behind these prison walls
5510	Oh, sin is the scariest of all
5511	Just the Way God Wanted Us to Be
5512	With seas and trees and animals and then He made a man
5513	But Adam he was incomplete, so God gave him a helper, Eve
5514	To carry out His plan
5515	This happy husband and his wife
5516	They showed the world what God is like until they disobeyed
5517	And even though they lost it all we still see fingerprints of God
5518	In everyone He makes
5519	We are the image of the God of all the world
5520	He made us boys, He made us girls
5521	Different pieces of the puzzle joined together perfectly
5522	We are just the way God wanted us to be
5523	We're shades of brown, we're short and tall
5524	But God Himself designed us all unique so we could see
5525	He wants each one to play a part to show the world the Father's heart
5526	To have a family
5527	We are the image of the God of all the world
5528	He made us boys, He made us girls
5529	Different pieces of the puzzle joined together perfectly
5530	We are just the way God wanted us to be
5531	We are the image of the God of all the world
5532	He made us boys, He made us girls
5533	Different pieces of the puzzle joined together perfectly
5534	We are just the way God wanted us to be
5535	The God of Wow
5536	You have no birthday, You have always been
5537	You alone have no beginning
5538	And no middle and no end
5539	You're always with me, You are everywhere
5540	In New Jersey or in Egypt
5541	Even outer space–You're there
5542	Everything You are and do
5543	Is unbelievable but true
5544	You're the God of Wow!
5545	Amazing! How could this be?
5546	You're the God of Whoa!
